classification,school,address,phone,website,cre-url,grade,type,programs,about-1,about-2,about-3,snippet_name,school_name,cre-url,cre_markup
catholic,Our Lady Of Grace School,"736 Evanston Drive NW Calgary, AB T3P 0N7",403-500-2124,https://ourladyofgrace.cssd.ab.ca/,,K-9,Elementary / Junior High,Regular,"<p>Established in September 2016 in the North West community of Evanston, Our Lady of Grace School provides catholic learning from Kindergarten through Grade 9 with major focus on the spiritual, intellectual, emotional and physical development of each student.</p>",,,catholic-our-lady-of-grace-school,our-lady-of-grace-school,/uploads/agent-1/optimized-images/school-logos/catholic/our-lady-of-grace-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Our Lady Of Grace School</h3> <p>736 Evanston Drive NW Calgary, AB T3P 0N7</p><p><strong>Phone Number:</strong> 403-500-2124</p></div><div class='cmty-school__info'> <a href='https://ourladyofgrace.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/our-lady-of-grace-school.webp' alt='Our Lady Of Grace School Logo' width='80' height='80' title='Visit Our Lady Of Grace School website.'> </a> <div> <p><strong>Grades:</strong> K-9</p><p><strong>Type:</strong> Elementary / Junior High</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Our Lady Of Grace School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Our Lady Of Grace School</h4><p>Established in September 2016 in the North West community of Evanston, Our Lady of Grace School provides catholic learning from Kindergarten through Grade 9 with major focus on the spiritual, intellectual, emotional and physical development of each student.</p></div></div>"
catholic,Our Lady of Peace School,"14826 Millrise Hill SW Calgary, AB T2Y 2B4",403-500-2097,https://ourladyofpeace.cssd.ab.ca/,, K-9,Elementary / Junior High,Regular Programming,"<p>Enjoying the distinction of being among the largest elementary/junior high schools in the Calgary Catholic School District, Our Lady of Peace School offers a number of programs such as Diverse Learning Assistance program and Observation Program.</p>",,,catholic-our-lady-of-peace-school,our-lady-of-peace-school,/uploads/agent-1/optimized-images/school-logos/catholic/our-lady-of-peace-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Our Lady of Peace School</h3> <p>14826 Millrise Hill SW Calgary, AB T2Y 2B4</p><p><strong>Phone Number:</strong> 403-500-2097</p></div><div class='cmty-school__info'> <a href='https://ourladyofpeace.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/our-lady-of-peace-school.webp' alt='Our Lady of Peace School Logo' width='80' height='80' title='Visit Our Lady of Peace School website.'> </a> <div> <p><strong>Grades:</strong>  K-9</p><p><strong>Type:</strong> Elementary / Junior High</p><p><strong>Programs:</strong> Regular Programming</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Our Lady of Peace School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Our Lady of Peace School</h4><p>Enjoying the distinction of being among the largest elementary/junior high schools in the Calgary Catholic School District, Our Lady of Peace School offers a number of programs such as Diverse Learning Assistance program and Observation Program.</p></div></div>"
catholic,Our Lady Of The Assumption School,"7311 - 34 Avenue NW Calgary, AB T3B 1N5",403-500-2045,https://ourladyofassumption.cssd.ab.ca/,,K - 9,Elementary / Junior High,Regular Programming,"<p>Located in west Calgary, Our Lady Of The Assumption School serves students from Kindergarten through Ninth Grade. The school fosters the spirit of faith, hospitality and responsibility among its students.</p>",,,catholic-our-lady-of-the-assumption-school,our-lady-of-the-assumption-school,/uploads/agent-1/optimized-images/school-logos/catholic/our-lady-of-the-assumption-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Our Lady Of The Assumption School</h3> <p>7311 - 34 Avenue NW Calgary, AB T3B 1N5</p><p><strong>Phone Number:</strong> 403-500-2045</p></div><div class='cmty-school__info'> <a href='https://ourladyofassumption.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/our-lady-of-the-assumption-school.webp' alt='Our Lady Of The Assumption School Logo' width='80' height='80' title='Visit Our Lady Of The Assumption School website.'> </a> <div> <p><strong>Grades:</strong> K - 9</p><p><strong>Type:</strong> Elementary / Junior High</p><p><strong>Programs:</strong> Regular Programming</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Our Lady Of The Assumption School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Our Lady Of The Assumption School</h4><p>Located in west Calgary, Our Lady Of The Assumption School serves students from Kindergarten through Ninth Grade. The school fosters the spirit of faith, hospitality and responsibility among its students.</p></div></div>"
catholic,Our Lady of The Evergreens School,"322 Everridge Drive SW Calgary, AB T2Y 0L5",403-500-2120,https://ourladyevergreens.cssd.ab.ca/,,K-6,Elementary,Regular,<p>Our Lady of the Evergreen Catholic School caters to the Catholic educational needs of students from the Southwest community of Evergreen from Kindergarten to the sixth grade.</p>,,,catholic-our-lady-of-the-evergreens-school,our-lady-of-the-evergreens-school,/uploads/agent-1/optimized-images/school-logos/catholic/our-lady-of-the-evergreens-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Our Lady of The Evergreens School</h3> <p>322 Everridge Drive SW Calgary, AB T2Y 0L5</p><p><strong>Phone Number:</strong> 403-500-2120</p></div><div class='cmty-school__info'> <a href='https://ourladyevergreens.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/our-lady-of-the-evergreens-school.webp' alt='Our Lady of The Evergreens School Logo' width='80' height='80' title='Visit Our Lady of The Evergreens School website.'> </a> <div> <p><strong>Grades:</strong> K-6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Our Lady of The Evergreens School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Our Lady of The Evergreens School</h4><p>Our Lady of the Evergreen Catholic School caters to the Catholic educational needs of students from the Southwest community of Evergreen from Kindergarten to the sixth grade.</p></div></div>"
catholic,Our Lady of The Rosary School,"41 Cranston Gate SE Calgary, AB T3M 0W7",403-500-2126,https://ourladyrosary.cssd.ab.ca/,,K-6,Elementary,Not Listed,"<p>A K-6 school situated in the South Cranston community, Our Lady of the Rosary School is dedicated to providing a perfect blend of academics and faith while inspiring excellence among its students.</p>",,,catholic-our-lady-of-the-rosary-school,our-lady-of-the-rosary-school,/uploads/agent-1/optimized-images/school-logos/catholic/our-lady-of-the-rosary-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Our Lady of The Rosary School</h3> <p>41 Cranston Gate SE Calgary, AB T3M 0W7</p><p><strong>Phone Number:</strong> 403-500-2126</p></div><div class='cmty-school__info'> <a href='https://ourladyrosary.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/our-lady-of-the-rosary-school.webp' alt='Our Lady of The Rosary School Logo' width='80' height='80' title='Visit Our Lady of The Rosary School website.'> </a> <div> <p><strong>Grades:</strong> K-6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Not Listed</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Our Lady of The Rosary School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Our Lady of The Rosary School</h4><p>A K-6 school situated in the South Cranston community, Our Lady of the Rosary School is dedicated to providing a perfect blend of academics and faith while inspiring excellence among its students.</p></div></div>"
catholic,Prince of Peace School,"43 Auburn Meadows Blvd SE Calgary, AB T3M 2C9",403-500-2125,https://princeofpeace.cssd.ab.ca/,, K-9,Elementary / Junior High,Regular,"<p>Since its establishment in 2016, Prince of Peace School has quickly evolved into a friendly educational community where all the students are taught the values of faith, success and relationships.</p>",,,catholic-prince-of-peace-school,prince-of-peace-school,/uploads/agent-1/optimized-images/school-logos/catholic/prince-of-peace-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Prince of Peace School</h3> <p>43 Auburn Meadows Blvd SE Calgary, AB T3M 2C9</p><p><strong>Phone Number:</strong> 403-500-2125</p></div><div class='cmty-school__info'> <a href='https://princeofpeace.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/prince-of-peace-school.webp' alt='Prince of Peace School Logo' width='80' height='80' title='Visit Prince of Peace School website.'> </a> <div> <p><strong>Grades:</strong>  K-9</p><p><strong>Type:</strong> Elementary / Junior High</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Prince of Peace School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Prince of Peace School</h4><p>Since its establishment in 2016, Prince of Peace School has quickly evolved into a friendly educational community where all the students are taught the values of faith, success and relationships.</p></div></div>"
catholic,Sacred Heart School,"1312 - 15 Street SW Calgary, AB T3C 1G2",403-500-2004,https://sacredheart.cssd.ab.ca/,,K-6,Elementary,"Regular Programming, Single Gender",<p>The teachers at Sacred Heart School strive to work in tandem with the parents to help each child unleash his/her true potential and thrive in a caring Catholic community to grow into globally responsible citizens.</p>,,,catholic-sacred-heart-school,sacred-heart-school,/uploads/agent-1/optimized-images/school-logos/catholic/sacred-heart-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Sacred Heart School</h3> <p>1312 - 15 Street SW Calgary, AB T3C 1G2</p><p><strong>Phone Number:</strong> 403-500-2004</p></div><div class='cmty-school__info'> <a href='https://sacredheart.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/sacred-heart-school.webp' alt='Sacred Heart School Logo' width='80' height='80' title='Visit Sacred Heart School website.'> </a> <div> <p><strong>Grades:</strong> K-6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular Programming, Single Gender</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Sacred Heart School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Sacred Heart School</h4><p>The teachers at Sacred Heart School strive to work in tandem with the parents to help each child unleash his/her true potential and thrive in a caring Catholic community to grow into globally responsible citizens.</p></div></div>"
catholic,St. Albert The Great School,"225 Prestwick Avenue SE Calgary, AB T2Z 3X3",403-500-2114,https://stalbert.cssd.ab.ca/,,K-9,Elementary / Junior High,Regular Programming,"<p>Saint Albert The Great School is dedicated to creating a caring, Catholic climate by building a strong, well-knit community of the teachers, students as well as the parents.</p>",,,catholic-st-albert-the-great-school,st-albert-the-great-school,/uploads/agent-1/optimized-images/school-logos/catholic/st-albert-the-great-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>St. Albert The Great School</h3> <p>225 Prestwick Avenue SE Calgary, AB T2Z 3X3</p><p><strong>Phone Number:</strong> 403-500-2114</p></div><div class='cmty-school__info'> <a href='https://stalbert.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/st-albert-the-great-school.webp' alt='St. Albert The Great School Logo' width='80' height='80' title='Visit St. Albert The Great School website.'> </a> <div> <p><strong>Grades:</strong> K-9</p><p><strong>Type:</strong> Elementary / Junior High</p><p><strong>Programs:</strong> Regular Programming</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about St. Albert The Great School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About St. Albert The Great School</h4><p>Saint Albert The Great School is dedicated to creating a caring, Catholic climate by building a strong, well-knit community of the teachers, students as well as the parents.</p></div></div>"
catholic,St. Alphonsus School,"928 Radnor Avenue NE Calgary, AB T2E 5H5", 403-500-2016,https://stalphonsus.cssd.ab.ca/,,K-9,Elementary / Junior High," Fine Arts (Gr.7-9), Italian Language and Culture (K-Gr.7), Regular Programming","<p>St. Alphonsus offers: specialized junior high Fine arts program, Italian Language and Culture program and French as a second language (to students grade 4 to 6).</p>",,,catholic-st-alphonsus-school,st-alphonsus-school,/uploads/agent-1/optimized-images/school-logos/catholic/st-alphonsus-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>St. Alphonsus School</h3> <p>928 Radnor Avenue NE Calgary, AB T2E 5H5</p><p><strong>Phone Number:</strong>  403-500-2016</p></div><div class='cmty-school__info'> <a href='https://stalphonsus.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/st-alphonsus-school.webp' alt='St. Alphonsus School Logo' width='80' height='80' title='Visit St. Alphonsus School website.'> </a> <div> <p><strong>Grades:</strong> K-9</p><p><strong>Type:</strong> Elementary / Junior High</p><p><strong>Programs:</strong>  Fine Arts (Gr.7-9), Italian Language and Culture (K-Gr.7), Regular Programming</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about St. Alphonsus School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About St. Alphonsus School</h4><p>St. Alphonsus offers: specialized junior high Fine arts program, Italian Language and Culture program and French as a second language (to students grade 4 to 6).</p></div></div>"
catholic,St. Ambrose School,"1500 Arbour Lake Road NW, Calgary, AB, T3G 4X9",403-500-2100,https://stambrose.cssd.ab.ca/,https://www.calgary-real-estate.com/uploads/agent-1/community/schools-catholic/st-ambrose-school.webp,K - 9,Elementary - Middle,"Regular, Fine arts, Hockey Canada Skills Academy","<p>Opening in 1999, St. Ambrose school offers a faith-based curriculum to students from kindergarten through to grade 9.</p>","<p>One of this school's most sought after programs is the Hockey Canada Skills Academy, and is the only school with this program available to Arbour Lake residents. They also offer a strong fine arts learning pathway for students looking to refine their skills in art, drama, and music.</p>",,catholic-st-ambrose-school,st-ambrose-school,/uploads/agent-1/optimized-images/school-logos/catholic/st-ambrose-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>St. Ambrose School</h3> <p>1500 Arbour Lake Road NW, Calgary, AB, T3G 4X9</p><p><strong>Phone Number:</strong> 403-500-2100</p></div><div class='cmty-school__info'> <a href='https://stambrose.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/st-ambrose-school.webp' alt='St. Ambrose School Logo' width='80' height='80' title='Visit St. Ambrose School website.'> </a> <div> <p><strong>Grades:</strong> K - 9</p><p><strong>Type:</strong> Elementary - Middle</p><p><strong>Programs:</strong> Regular, Fine arts, Hockey Canada Skills Academy</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about St. Ambrose School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About St. Ambrose School</h4><p>Opening in 1999, St. Ambrose school offers a faith-based curriculum to students from kindergarten through to grade 9.</p><p>One of this school's most sought after programs is the Hockey Canada Skills Academy, and is the only school with this program available to Arbour Lake residents. They also offer a strong fine arts learning pathway for students looking to refine their skills in art, drama, and music.</p></div></div>"
catholic,St. Andrew School,"4331 - 41 Avenue SW Calgary, AB T3E 1G2", 403-500-2031,https://standrew.cssd.ab.ca/,, K-6,Elementary,Regular Programming,"<p>As a small school, St. Andrew emphasizes a “family” culture where each individual grows by helping others to grow. At present, the school serves 150 kindergarten to grade 6 students. The majority of the grade six students will go on to St. Gregory Junior High School. ""</p>",,,catholic-st-andrew-school,st-andrew-school,/uploads/agent-1/optimized-images/school-logos/catholic/st-andrew-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>St. Andrew School</h3> <p>4331 - 41 Avenue SW Calgary, AB T3E 1G2</p><p><strong>Phone Number:</strong>  403-500-2031</p></div><div class='cmty-school__info'> <a href='https://standrew.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/st-andrew-school.webp' alt='St. Andrew School Logo' width='80' height='80' title='Visit St. Andrew School website.'> </a> <div> <p><strong>Grades:</strong>  K-6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular Programming</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about St. Andrew School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About St. Andrew School</h4><p>As a small school, St. Andrew emphasizes a “family” culture where each individual grows by helping others to grow. At present, the school serves 150 kindergarten to grade 6 students. The majority of the grade six students will go on to St. Gregory Junior High School. ""</p></div></div>"
catholic,St. Angela School,"231 - 6 Street NE Calgary, AB T2E 3Y1",403-500-2011,https://stangela.cssd.ab.ca/,,K-6,Elementary," Regular Programming, Workplace School","<p>In operation since 1913, St. Angela has served Bridgeland for many years. Attendance running just over 150 children this school is smaller and close knit.</p>",,,catholic-st-angela-school,st-angela-school,/uploads/agent-1/optimized-images/school-logos/catholic/st-angela-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>St. Angela School</h3> <p>231 - 6 Street NE Calgary, AB T2E 3Y1</p><p><strong>Phone Number:</strong> 403-500-2011</p></div><div class='cmty-school__info'> <a href='https://stangela.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/st-angela-school.webp' alt='St. Angela School Logo' width='80' height='80' title='Visit St. Angela School website.'> </a> <div> <p><strong>Grades:</strong> K-6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong>  Regular Programming, Workplace School</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about St. Angela School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About St. Angela School</h4><p>In operation since 1913, St. Angela has served Bridgeland for many years. Attendance running just over 150 children this school is smaller and close knit.</p></div></div>"
catholic,St. Augustine School,"7112 - 7 Street SW Calgary, AB T2V 1E9",<403-500-2022,https://staugustine.cssd.ab.ca/,,K-9,Elementary / Junior High,Fine Arts,"<p>Situated in the mature residential neighbourhood of Kingsland, St. Augustine School offers a fine arts learning program for students from Kindergarten through the ninth grade.</p>",,,catholic-st-augustine-school,st-augustine-school,/uploads/agent-1/optimized-images/school-logos/catholic/st-augustine-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>St. Augustine School</h3> <p>7112 - 7 Street SW Calgary, AB T2V 1E9</p><p><strong>Phone Number:</strong> <403-500-2022</p></div><div class='cmty-school__info'> <a href='https://staugustine.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/st-augustine-school.webp' alt='St. Augustine School Logo' width='80' height='80' title='Visit St. Augustine School website.'> </a> <div> <p><strong>Grades:</strong> K-9</p><p><strong>Type:</strong> Elementary / Junior High</p><p><strong>Programs:</strong> Fine Arts</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about St. Augustine School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About St. Augustine School</h4><p>Situated in the mature residential neighbourhood of Kingsland, St. Augustine School offers a fine arts learning program for students from Kindergarten through the ninth grade.</p></div></div>"
catholic,St. Basil School,"919 Tuscany Drive NW Calgary, AB T3L 2T5",403-500-2108,https://stbasil.cssd.ab.ca/,, K-9,Elementary / Junior High,Regular Programming,"<p>A K-9 Catholic School situated in the Tuscany community, St. Basil School is a part of the Catholic Community of Caring School. The school focuses on teaching the six essential values of responsibility, respect, trust, caring, family and faith to its students.</p>",,,catholic-st-basil-school,st-basil-school,/uploads/agent-1/optimized-images/school-logos/catholic/st-basil-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>St. Basil School</h3> <p>919 Tuscany Drive NW Calgary, AB T3L 2T5</p><p><strong>Phone Number:</strong> 403-500-2108</p></div><div class='cmty-school__info'> <a href='https://stbasil.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/st-basil-school.webp' alt='St. Basil School Logo' width='80' height='80' title='Visit St. Basil School website.'> </a> <div> <p><strong>Grades:</strong>  K-9</p><p><strong>Type:</strong> Elementary / Junior High</p><p><strong>Programs:</strong> Regular Programming</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about St. Basil School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About St. Basil School</h4><p>A K-9 Catholic School situated in the Tuscany community, St. Basil School is a part of the Catholic Community of Caring School. The school focuses on teaching the six essential values of responsibility, respect, trust, caring, family and faith to its students.</p></div></div>"
catholic,St. Bede School,"333 Bermuda Drive NW Calgary, AB T3K 2J5", 403-500-2082,https://stbede.cssd.ab.ca/,,K-6,Elementary,Regular Programming,"<p>St. Bede School believes that by instilling Christian attitudes in an open and positive environment, the talents of all would be developed and utilized.</p>",,,catholic-st-bede-school,st-bede-school,/uploads/agent-1/optimized-images/school-logos/catholic/st-bede-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>St. Bede School</h3> <p>333 Bermuda Drive NW Calgary, AB T3K 2J5</p><p><strong>Phone Number:</strong>  403-500-2082</p></div><div class='cmty-school__info'> <a href='https://stbede.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/st-bede-school.webp' alt='St. Bede School Logo' width='80' height='80' title='Visit St. Bede School website.'> </a> <div> <p><strong>Grades:</strong> K-6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular Programming</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about St. Bede School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About St. Bede School</h4><p>St. Bede School believes that by instilling Christian attitudes in an open and positive environment, the talents of all would be developed and utilized.</p></div></div>"
catholic,St. Bernadette School,"55 Lynndale Crescent SE Calgary, AB T2C 0T8",403-500-2020,https://stbernadette.cssd.ab.ca/,,K-6,Elementary, Regular Programming,"<p>At St. Bernadette School, the staff is focused on developing an effective and safe learning environment where the students are encouraged and inspired to unleash their highest potential.</p>",,,catholic-st-bernadette-school,st-bernadette-school,/uploads/agent-1/optimized-images/school-logos/catholic/st-bernadette-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>St. Bernadette School</h3> <p>55 Lynndale Crescent SE Calgary, AB T2C 0T8</p><p><strong>Phone Number:</strong> 403-500-2020</p></div><div class='cmty-school__info'> <a href='https://stbernadette.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/st-bernadette-school.webp' alt='St. Bernadette School Logo' width='80' height='80' title='Visit St. Bernadette School website.'> </a> <div> <p><strong>Grades:</strong> K-6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong>  Regular Programming</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about St. Bernadette School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About St. Bernadette School</h4><p>At St. Bernadette School, the staff is focused on developing an effective and safe learning environment where the students are encouraged and inspired to unleash their highest potential.</p></div></div>"
catholic,St. Bonaventure School,"1710 Acadia Drive SE Calgary, AB T2J 3X8",403-500-2062,https://stbonaventure.cssd.ab.ca/,,9-Jul,Junior High,"Hockey Canada Skills Academy, Regular Programming, Spanish Bilingual","<p>St. Bonaventure School operates in collaboration with the Catholic community and is focussed on promoting a nurturing and disciplined approach to learning through spiritual, intellectual, creative, physical, social and emotional development of the student.</p>",,,catholic-st-bonaventure-school,st-bonaventure-school,/uploads/agent-1/optimized-images/school-logos/catholic/st-bonaventure-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>St. Bonaventure School</h3> <p>1710 Acadia Drive SE Calgary, AB T2J 3X8</p><p><strong>Phone Number:</strong> 403-500-2062</p></div><div class='cmty-school__info'> <a href='https://stbonaventure.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/st-bonaventure-school.webp' alt='St. Bonaventure School Logo' width='80' height='80' title='Visit St. Bonaventure School website.'> </a> <div> <p><strong>Grades:</strong> 44386</p><p><strong>Type:</strong> Junior High</p><p><strong>Programs:</strong> Hockey Canada Skills Academy, Regular Programming, Spanish Bilingual</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about St. Bonaventure School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About St. Bonaventure School</h4><p>St. Bonaventure School operates in collaboration with the Catholic community and is focussed on promoting a nurturing and disciplined approach to learning through spiritual, intellectual, creative, physical, social and emotional development of the student.</p></div></div>"
catholic,St. Boniface School,"927 Lake Sylvan Drive SE Calgary, AB T2J 2P8",403-500-2060,https://stboniface.cssd.ab.ca/,, K-6,Elementary,"Hockey Canada Skills Academy (Gr.4-6), Regular Programming","<p>Operational in the lake Bonevista community, St. Boniface School is dedicated to promoting healthy development of a whole child by focussing on developing a healthy body, healthy mind and healthy soul.</p>",,,catholic-st-boniface-school,st-boniface-school,/uploads/agent-1/optimized-images/school-logos/catholic/st-boniface-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>St. Boniface School</h3> <p>927 Lake Sylvan Drive SE Calgary, AB T2J 2P8</p><p><strong>Phone Number:</strong> 403-500-2060</p></div><div class='cmty-school__info'> <a href='https://stboniface.cssd.ab.ca/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/catholic/st-boniface-school.webp' alt='St. Boniface School Logo' width='80' height='80' title='Visit St. Boniface School website.'> </a> <div> <p><strong>Grades:</strong>  K-6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Hockey Canada Skills Academy (Gr.4-6), Regular Programming</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about St. Boniface School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About St. Boniface School</h4><p>Operational in the lake Bonevista community, St. Boniface School is dedicated to promoting healthy development of a whole child by focussing on developing a healthy body, healthy mind and healthy soul.</p></div></div>"
